title,price,room_count,sq_meters,apartment_floor,year_built,link
"2 kambarių butas Klaipėdoje, Poilsio, Rambyno g. +3 ","
Kaina: 64 000 € (970 €/m²)

",2 kamb.,66.00 m²,5/5 a.,1987 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-poilsio-rambyno-g-7181374.html
"2 kambarių butas Klaipėdoje, Žvejybos uostas, Minijos g. +2 ","
Kaina: 56 000 € (1 167 €/m²)

",2 kamb.,48.00 m²,5/5 a., m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-zvejybos-uostas-minijos-g-7222102.html
"1 kambario butas Klaipėdoje, Sportininkuose, Pušyno g. +2 ","
Kaina: 37 500 € (1 250 €/m²)

",1 kamb.,30.00 m²,3/4 a.,1968 m.,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-klaipedoje-sportininkuose-pusyno-g-7218451.html
"3 kambarių butas Klaipėdoje, Naujakiemyje, Naujakiemio g. +2 ","
Kaina: 70 000 € (1 094 €/m²)

",3 kamb.,64.00 m²,3/5 a.,1972 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-naujakiemyje-naujakiemio-g-7217620.html
"1 kambario butas Klaipėdoje, Centre, J. Karoso g. +2 ","
Kaina: 67 770 € (1 832 €/m²)

",1 kamb.,37.00 m²,2/3 a.,1957 m.,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-klaipedoje-centre-j-karoso-g-7216594.html
"2 kambarių butas Klaipėdoje, Vėtrungėje, Kuosų g. +2 ","
Kaina: 95 000 € (1 484 €/m²)

",2 kamb.,64.00 m²,7/35 a.,2008 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-vetrungeje-kuosu-g-7195168.html
"4 kambarių butas Klaipėdoje, Centre, J. Karoso g. +2 ","
Kaina: 159 000 € (935 €/m²)

",4 kamb.,170.00 m²,3/3 a.,1928 m.,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-klaipedoje-centre-j-karoso-g-7130428.html
"2 kambarių butas Klaipėdoje, Vingio, Vingio g. +2 ","
Kaina: 64 000 € (1 333 €/m²)

",2 kamb.,48.00 m²,7/9 a.,1983 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-vingio-vingio-g-7089232.html
"2 kambarių butas Klaipėdoje, Žardininkuose, I. Simonaitytės g. +2 ","
Kaina: 53 000 € (1 060 €/m²)

",2 kamb.,50.00 m²,6/9 a.,1979 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-zardininkuose-i-simonaitytes-g-7005274.html
"3 kambarių butas Klaipėdoje, Centre, J. Zauerveino g. +1 ","
Kaina: 93 000 € (1 769 €/m²)

",3 kamb.,52.58 m²,2/2 a.,1990 m.,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-klaipedoje-centre-j-zauerveino-g-7232794.html
"1 kambario butas Klaipėdoje, Senamiestyje, Bangų g. +1 ","
Kaina: 89 999 € (2 476 €/m²)

",1 kamb.,36.35 m²,2/4 a.,2019 m.,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-klaipedoje-senamiestyje-bangu-g-7230091.html
"2 kambarių butas Klaipėdoje, Centre, Bijūnų g. +1 ","
Kaina: 95 000 € (1 919 €/m²)

",2 kamb.,49.50 m²,1/4 a.,2020 m.,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-klaipedoje-centre-bijunu-g-7229467.html
"1 kambario butas Klaipėdoje, Debrecene, Taikos pr. +1 ","
Kaina: 70 000 € (1 897 €/m²)

",1 kamb.,36.90 m²,9/13 a.,1975 m.,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-klaipedoje-debrecene-taikos-pr-7229347.html
